rank,stadium,capacity,city,country,region,tenants,sports,image,location
1,Narendra Modi Stadium,132000,"Ahmedabad, Gujarat",India,South Asia,"India national cricket team, India women's national cricket team, Gujarat Titans, Gujarat cricket team",Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Narendra_modi_stadium_2023_Final_between_India_and_Australia.jpg/150px-Narendra_modi_stadium_2023_Final_between_India_and_Australia.jpg,"[15.521192, 74.9836032]"
2,Rungrado 1st of May Stadium,114000,Pyongyang,North Korea,East Asia,North Korea national football team,"Football, athletics, mass games",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Views_from_Yanggakdo_International_Hotel_10.JPG/150px-Views_from_Yanggakdo_International_Hotel_10.JPG,"[40.141826346, 127.16969192]"
3,Michigan Stadium,107601,"Ann Arbor, Michigan",United States,North America,Michigan Wolverines football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Michigan_Stadium_-_Michigan_vs._Iowa_11-17-2012.JPG/150px-Michigan_Stadium_-_Michigan_vs._Iowa_11-17-2012.JPG,"[42.265867, -83.7500284]"
4,Beaver Stadium,106572,"State College, Pennsylvania",United States,North America,Penn State Nittany Lions football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Beaver_Stadium_Whiteout_2018_Pregame.jpg/150px-Beaver_Stadium_Whiteout_2018_Pregame.jpg,"[40.8129352, -77.8550683]"
5,Ohio Stadium,102780,"Columbus, Ohio",United States,North America,Ohio State Buckeyes football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Ohio_Stadium_Overhead.jpg/150px-Ohio_Stadium_Overhead.jpg,"[40.0016203, -83.0197163]"
6,Kyle Field,102733,"College Station, Texas",United States,North America,Texas A&M Aggies football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Kyle_Field_Panorama.jpg/150px-Kyle_Field_Panorama.jpg,"[30.6094062, -96.3412489]"
7,Tiger Stadium,102321,"Baton Rouge, Louisiana",United States,North America,LSU Tigers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Tiger_Stadium_South_End_Zone_-_New.jpg/150px-Tiger_Stadium_South_End_Zone_-_New.jpg,"[30.4116288, -91.1849659]"
8,Neyland Stadium,101915,"Knoxville, Tennessee",United States,North America,Tennessee Volunteers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Neylandstadium.jpg/150px-Neylandstadium.jpg,"[35.954455, -83.9258079]"
9,Darrell K Royal–Texas Memorial Stadium,100119,"Austin, Texas",United States,North America,Texas Longhorns football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Darrell_K._Royal_Memorial_Stadium_-_panoramio.jpg/150px-Darrell_K._Royal_Memorial_Stadium_-_panoramio.jpg,"[30.283601, -97.7326077]"
10,Bryant–Denny Stadium,100077,"Tuscaloosa, Alabama",United States,North America,Alabama Crimson Tide football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bryant-Denny_Stadium_panoramic_2010-10-02.jpg/150px-Bryant-Denny_Stadium_panoramic_2010-10-02.jpg,"[33.2076834, -87.5505632]"
11,Melbourne Cricket Ground,100024,"Melbourne, Victoria",Australia,Oceania,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne Football Club, Richmond Football Club, Collingwood Football Club, Hawthorn Football Club","Cricket, Australian rules football",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/2017_AFL_Grand_Final_panorama_during_national_anthem.jpg/150px-2017_AFL_Grand_Final_panorama_during_national_anthem.jpg,"[-37.8192512, 144.9860777]"
12,Camp Nou,99354,Barcelona,Spain,Europe,FC Barcelona,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Camp_Nou_Panoramic_Interior_View.jpg/150px-Camp_Nou_Panoramic_Interior_View.jpg,"[41.37938, 2.12461]"
13,FNB Stadium,94736,Johannesburg,South Africa,Africa,"South Africa national soccer team, Kaizer Chiefs F.C.",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/FIFA_World_Cup_2010_Uruguay_Ghana.jpg/150px-FIFA_World_Cup_2010_Uruguay_Ghana.jpg,"[-26.2348, 27.9827]"
14,Misr Stadium,93940,New Administrative Capital,Egypt,Africa,Egypt national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/The_New_administrative_stadium_of_Egypt.jpg/150px-The_New_administrative_stadium_of_Egypt.jpg,"[30.3153908, 32.3000239]"
15,Sanford Stadium,92746,"Athens, Georgia",United States,North America,Georgia Bulldogs football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/SanfordNorthStandsPanorama.jpg/150px-SanfordNorthStandsPanorama.jpg,"[33.9502131, -83.3735418]"
16,Lusail Stadium,92349,Lusail,Qatar,Western Asia,Qatar national football team,Association football,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Lusail_Stadium.jpg/150px-Lusail_Stadium.jpg,"[25.4210159, 51.4913956]"
17,Cotton Bowl,92100,"Dallas, Texas",United States,North America,,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg/150px-2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg,"[32.7791606, -96.759991]"
18,Wembley Stadium,90000,London,United Kingdom,Europe,England national football team,"Association football, rugby league, American football",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/%22Wemberley.......Wemberley%22_-_geograph.org.uk_-_1770078.jpg/150px-%22Wemberley.......Wemberley%22_-_geograph.org.uk_-_1770078.jpg,"[51.5569206, -0.2790416]"
19,Ben Hill Griffin Stadium,88548,"Gainesville, Florida",United States,North America,Florida Gators football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/BenHillGriffinStadium.png/150px-BenHillGriffinStadium.png,"[29.6488993, -82.3493304]"
20,Rose Bowl,88432,"Pasadena, California",United States,North America,"UCLA Bruins football, Rose Bowl Game",American football,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/2018.06.17_Over_the_Rose_Bowl%2C_Pasadena%2C_CA_USA_0029_%2842855638731%29.jpg/150px-2018.06.17_Over_the_Rose_Bowl%2C_Pasadena%2C_CA_USA_0029_%2842855638731%29.jpg,"[34.1624151, -118.1678663]"
21,Jordan–Hare Stadium,88043,"Auburn, Alabama",United States,North America,Auburn Tigers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Jordan-Hare_WestExt.jpg/150px-Jordan-Hare_WestExt.jpg,"[32.602235, -85.489156]"
22,Bukit Jalil National Stadium,87411,Kuala Lumpur,Malaysia,Southeast Asia,Malaysia national football team,"Association football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[3.0546735, 101.6912399]"
23,Memorial Stadium,86047,"Lincoln, Nebraska",United States,North America,Nebraska Cornhuskers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/National_Guard_Memorial_Stadium_volleyball_flyover.jpg/150px-National_Guard_Memorial_Stadium_volleyball_flyover.jpg,"[40.8206208, -96.7056145]"
24,Borg El Arab Stadium,86000,Alexandria,Egypt,Africa,Egypt national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Borg_el_arab_stadium.jpg/150px-Borg_el_arab_stadium.jpg,"[30.9995782, 29.7293881]"
25,Estadio Monumental,84567,Buenos Aires,Argentina,South America,"Argentina national football team, River Plate",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Estadio_Monumental.jpg/150px-Estadio_Monumental.jpg,"[-34.5455547, -58.4483895]"
26,Stadium Australia,83500,Sydney,Australia,Oceania,"Wallabies, New South Wales Waratahs, New South Wales Blues, Canterbury-Bankstown Bulldogs, South Sydney Rabbitohs, GWS Giants, Australia men's national soccer team, Australia women's national soccer team, Sydney FC","Rugby union, Rugby league, Australian rules football, Soccer",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/2022_NRLGF_stadium.jpg/150px-2022_NRLGF_stadium.jpg,"[-33.8469834, 151.0620864]"
27,Estadio Azteca,83280,Mexico City,Mexico,North America,"Club América, Cruz Azul, Mexico national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Panor%C3%A1mica_esquina_noreste.jpg/150px-Panor%C3%A1mica_esquina_noreste.jpg,"[19.3017955, -99.1507105]"
28,Santiago Bernabéu Stadium,83186,Madrid,Spain,Europe,Real Madrid C.F.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Bernab%C3%A9u_despu%C3%A9s_de_la_reforma.jpg/150px-Bernab%C3%A9u_despu%C3%A9s_de_la_reforma.jpg,"[40.4532703, -3.690148]"
29,MetLife Stadium,82500,"East Rutherford, New Jersey",United States,North America,"New York Giants, New York Jets",American football,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/MetLife_Stadium%2C_Jets.jpg/150px-MetLife_Stadium%2C_Jets.jpg,"[40.813756, -74.0730639]"
30,Croke Park,82300,Dublin,Ireland,Europe,Gaelic Athletic Association,"Gaelic football, hurling, camogie",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Croke_Park_from_the_Hill_-_2004_All-Ireland_Football_Championship_Final.jpg/150px-Croke_Park_from_the_Hill_-_2004_All-Ireland_Football_Championship_Final.jpg,"[53.3607, -6.25138]"
31,Jakarta International Stadium,82000,Jakarta,Indonesia,Southeast Asia,"Persija Jakarta, Indonesia national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Jakarta_International_Stadium_from_Toll_road.jpg/150px-Jakarta_International_Stadium_from_Toll_road.jpg,"[-6.1250437, 106.8594839]"
32,Twickenham Stadium,82000,London,United Kingdom,Europe,England national rugby union team,Rugby union,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Stade_de_Twickenham_%C3%A0_Londres.jpg/150px-Stade_de_Twickenham_%C3%A0_Londres.jpg,"[51.455649, -0.341761]"
33,Memorial Stadium,81500,"Clemson, South Carolina",United States,North America,Clemson Tigers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Clemson_Memorial_Stadium%2C_football_game_vs._U_of_Louisville.jpg/150px-Clemson_Memorial_Stadium%2C_football_game_vs._U_of_Louisville.jpg,"[34.688685, -82.834885]"
34,Lambeau Field,81441,"Green Bay, Wisconsin",United States,North America,Green Bay Packers,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Packers_vs_Patriots.jpg/150px-Packers_vs_Patriots.jpg,"[44.5018253, -88.0604251]"
35,Signal Iduna Park,81365,Dortmund,Germany,Europe,Borussia Dortmund,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Signal_iduna_park_stadium_dortmund_4.jpg/150px-Signal_iduna_park_stadium_dortmund_4.jpg,"[51.4938537, 7.4526071]"
36,Stade de France,81338,Saint-Denis,France,Europe,"France national football team, France national rugby union team","Association football, rugby union",https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Stade_de_France_France_Croatie_03.jpg/150px-Stade_de_France_France_Croatie_03.jpg,"[49.494487, 5.915973]"
37,Luzhniki Stadium,81000,Moscow,Russia,Europe,"Russia national football team, FC Torpedo Moscow",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/LuzhnikiStadium.jpg/150px-LuzhnikiStadium.jpg,"[55.71665, 37.5520078]"
38,Hangzhou Olympic Sports Center Stadium,80800,Hangzhou,China,East Asia,,"Association football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Hangzhou_Olympic_Sports_Center_Stadium2021.jpg/150px-Hangzhou_Olympic_Sports_Center_Stadium2021.jpg,"[-22.6011061, 17.0973067]"
39,Shah Alam Stadium,80372,Shah Alam,Malaysia,Southeast Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Shah_Alam_Stadium_aerial_view.jpg/150px-Shah_Alam_Stadium_aerial_view.jpg,"[3.0811814, 101.5442862]"
40,Camp Randall Stadium,80321,"Madison, Wisconsin",United States,North America,Wisconsin Badgers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Camp_Randall_Stadium_%286948072565%29.jpg/150px-Camp_Randall_Stadium_%286948072565%29.jpg,"[43.0696471, -89.4122017]"
41,Gaylord Family Oklahoma Memorial Stadium,80126,"Norman, Oklahoma",United States,North America,Oklahoma Sooners football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/OMU_with_2016_extension.jpg/150px-OMU_with_2016_extension.jpg,"[35.2058391, -97.4423989]"
42,Estadio Monumental,80093,Lima,Peru,South America,Universitario de Deportes,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Estadio_Monumental_2021.jpg/150px-Estadio_Monumental_2021.jpg,"[-11.7846769, -75.4872501]"
43,San Siro,80018,Milan,Italy,Europe,"AC Milan, Inter Milan, Italy national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Stadio_Meazza_2021_3.jpg/150px-Stadio_Meazza_2021_3.jpg,"[46.0657962, 9.2687592]"
44,Guangdong Olympic Stadium,80012,"Guangzhou, Guangdong",China,East Asia,,"Association football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Stade_Olympique_Guangdong.JPG/150px-Stade_Olympique_Guangdong.JPG,"[29.1488, 106.21889]"
45,AT&T Stadium,80000,"Arlington, Texas",United States,North America,"Dallas Cowboys, Cotton Bowl",American football,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cowboys_stadium_inside_view_4.JPG/150px-Cowboys_stadium_inside_view_4.JPG,"[32.74694, -97.0923976]"
46,Beijing National Stadium,80000,Beijing,China,East Asia,"China national football team, China women's national football team","Association football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Beijing_National_Stadium_from_the_Central_Axis_%2820220905140702%29_%28cropped%29.jpg/150px-Beijing_National_Stadium_from_the_Central_Axis_%2820220905140702%29_%28cropped%29.jpg,"[39.99142, 116.39005]"
47,Stade des Martyrs,80000,Kinshasa,Democratic Republic of the Congo,Africa,DR Congo national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg/150px-Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg,"[-4.3314086, 15.3123369]"
48,Stade Tata Raphaël,80000,Kinshasa,Democratic Republic of the Congo,Africa,"Daring Club Motema Pembe, AS Vita Club",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Stade_Tata_Rapha%C3%ABl_lors_d%27un_de_l%27AS_V.CLUB.jpg/150px-Stade_Tata_Rapha%C3%ABl_lors_d%27un_de_l%27AS_V.CLUB.jpg,"[-4.3382, 15.32241]"
49,Moi International Sports Centre,80000,Nairobi,Kenya,Africa,Kenya national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Inside_the_Kasarani_Stadium.jpg/150px-Inside_the_Kasarani_Stadium.jpg,"[-1.2295464, 36.8923077]"
50,Japan National Stadium,80000,Tokyo,Japan,East Asia,"Japan national football team, Japan national rugby union team","Association football, Athletics, Rugby union",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/New_national_stadium_tokyo_1.jpg/150px-New_national_stadium_tokyo_1.jpg,"[35.677893537, 139.714529797]"
51,Doak Campbell Stadium,79560,"Tallahassee, Florida",United States,North America,Florida State Seminoles football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[30.4390597, -84.3054328]"
52,Azadi Stadium,78116,Tehran,Iran,Western Asia,"Iran national football team, Persepolis, Esteghlal",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.84072, 54.43701]"
53,Notre Dame Stadium,77622,"Notre Dame, Indiana",United States,North America,Notre Dame Fighting Irish football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.6993003, -86.2339427]"
54,Atatürk Olympic Stadium,77563,Istanbul,Turkey,Europe,"Turkey national football team, Fatih Karagümrük","Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.0746334, 28.764367]"
55,Williams-Brice Stadium,77559,"Columbia, South Carolina",United States,North America,South Carolina Gamecocks football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.973109, -81.019129]"
56,Los Angeles Memorial Coliseum,77500,Los Angeles,United States,North America,USC Trojans football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[34.0140413, -118.2862321]"
57,Gelora Bung Karno Stadium,77193,Jakarta,Indonesia,Southeast Asia,Indonesia national football team,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-6.2242, 106.806]"
58,Arrowhead Stadium,76640,"Kansas City, Missouri",United States,North America,Kansas City Chiefs,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.1249362, -83.3478532]"
59,Donald W. Reynolds Razorback Stadium,76212,"Fayetteville, Arkansas",United States,North America,Arkansas Razorbacks football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.0680656, -94.1789451]"
60,Empower Field at Mile High,76125,Denver,United States,North America,Denver Broncos,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[34.411465, -117.77225]"
61,Old Trafford,75639,Manchester,United Kingdom,Europe,Manchester United F.C.,"Association football, rugby league",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.4612182, -2.2695442]"
62,Allianz Arena,75024,Munich,Germany,Europe,Bayern Munich,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[48.426705, 10.301307]"
63,Spartan Stadium,75005,"East Lansing, Michigan",United States,North America,Michigan State Spartans football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.7281974, -84.4848564]"
64,Mercedes-Benz Stadium,75000,Atlanta,United States,North America,"Atlanta Falcons, Atlanta United FC","American football, association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.7553806, -84.4007571]"
65,Cairo International Stadium,75000,Cairo,Egypt,Africa,"Egypt national football team, Al Ahly, Zamalek",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[30.0691032, 31.3123226]"
66,Naghsh-e Jahan Stadium,75000,Isfahan,Iran,Western Asia,Sepahan S.C.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.94536, 57.85479]"
67,Millennium Stadium,74500,Cardiff,United Kingdom,Europe,Wales national rugby union team,"Rugby union, association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.478008, -3.1824288]"
68,Olympiastadion,74228,Berlin,Germany,Europe,Hertha BSC,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[50.955376, 6.941379]"
69,Highmark Stadium,73967,"Orchard Park, New York",United States,North America,Buffalo Bills,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.7737501, -78.7869961]"
70,Bank of America Stadium,73298,"Charlotte, North Carolina",United States,North America,Carolina Panthers,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.2248779, -80.8519233]"
71,Caesars Superdome,73208,New Orleans,United States,North America,New Orleans Saints,"American football, association football, baseball",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.765333, -114.35834]"
72,Cleveland Browns Stadium,73200,Cleveland,United States,North America,Cleveland Browns,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.50616, -81.69958]"
73,Maracanã Stadium,73139,Rio de Janeiro,Brazil,South America,"Flamengo, Fluminense, Brazil national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-22.9160007, -43.2300071]"
74,International Stadium Yokohama,72327,Yokohama,Japan,East Asia,Yokohama F. Marinos,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.50963, 139.60645]"
75,NRG Stadium,72220,Houston,United States,North America,Houston Texans,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[29.6860598, -95.4108751]"
76,Athens Olympic Stadium,72080,Athens,Greece,Europe,,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.9703016, 23.7418545]"
77,Legion Field,72000,"Birmingham, Alabama",United States,North America,UAB Blazers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.223996, -70.938229]"
78,Shanghai Stadium,72000,Shanghai,China,East Asia,Shanghai Shenhua,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[31.18563, 121.44211]"
79,M&T Bank Stadium,71008,Baltimore,United States,North America,Baltimore Ravens,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.276905, -76.6227764]"
80,Levi's Stadium,70909,"Santa Clara, California",United States,North America,San Francisco 49ers,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.4033062, -121.9700331]"
81,Al Bayt Stadium,70736,Al Khor,Qatar,Western Asia,"Qatar national football team, Al-Khor SC",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[25.6521673, 51.4878573]"
82,Stadio Olimpico,70634,Rome,Italy,Europe,"Italy national rugby union team, AS Roma, SS Lazio","Rugby union, Association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.9317718, 12.4556773]"
83,Metropolitano Stadium,70460,Madrid,Spain,Europe,Atlético Madrid,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.7836, -3.8267]"
84,SoFi Stadium,70240,Inglewood,United States,North America,"Los Angeles Rams, Los Angeles Chargers, hosts LA Bowl",American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.9534157, -118.3390232]"
85,Husky Stadium,70138,Seattle,United States,North America,Washington Huskies football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.6608865, -86.5920962]"
86,Olimpiyskiy National Sports Complex,70050,Kyiv,Ukraine,Europe,Dynamo Kyiv,"Association football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[49.026898375, 31.374926053]"
87,Estádio Nacional Mané Garrincha,69910,Brasília,Brazil,South America,Sociedade Esportiva do Gama,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-15.78348, -47.89784]"
88,Lincoln Financial Field,69328,Philadelphia,United States,North America,"Philadelphia Eagles, Temple Owls football",American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.9016959, -75.1676236]"
89,Kinnick Stadium,69250,"Iowa City, Iowa",United States,North America,Iowa Hawkeyes football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.6585732, -91.5515889]"
90,Nissan Stadium,69143,"Nashville, Tennessee",United States,North America,"Tennessee Titans, Tennessee State Tigers football",American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.1667149, -86.7709786]"
91,Lumen Field,69000,Seattle,United States,North America,"Seattle Seahawks, Seattle Sounders FC, Seattle Sea Dragons. Seattle Reign","American football, association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.484662, -83.260744]"
92,Seoul Olympic Stadium,68900,Seoul,South Korea,East Asia,South Korea national football team,"Athletics, association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.566, 126.9784]"
93,Baku Olympic Stadium,68700,Baku,Azerbaijan,Western Asia,Azerbaijan national football team,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.378416, 49.842201]"
94,Acrisure Stadium,68400,Pittsburgh,United States,North America,"Pittsburgh Steelers, Pittsburgh Panthers football",American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.4458496, -80.0152223]"
95,Krestovsky Stadium,68134,Saint Petersburg,Russia,Europe,FC Zenit Saint Petersburg,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[56.360470192, 62.847934836]"
96,London Stadium,68013,London,United Kingdom,Europe,"West Ham United F.C., British Athletics","Athletics, Association football, Baseball, cricket, rugby union, rugby league",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.538832, -0.016473]"
97,Eden Gardens,68000,Kolkata,India,South Asia,"Indian national cricket team, Bengal cricket team, Kolkata Knight Riders",Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[19.044279, 72.911732]"
98,Salt Lake Stadium,68000,Kolkata,India,South Asia,"India national football team, Mohun Bagan Super Giant, East Bengal FC, Mohammedan SC","Association football, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[22.5912147, 88.3928912]"
99,Workers' Stadium,68000,Beijing,China,South Asia,"Beijing Guoan, China national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[27.33386915, 128.5735827]"
100,EverBank Stadium,67814,"Jacksonville, Florida",United States,North America,Jacksonville Jaguars,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.789665, -71.44979]"
101,Hard Rock Stadium,67518,"Miami Gardens, Florida",United States,North America,"Miami Dolphins, Miami Hurricanes football","American football, baseball",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[25.9564193, -80.2383487]"
102,Stade Vélodrome,67344,Marseille,France,Europe,"Olympique de Marseille, RC Toulon","Association football, rugby union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[46.631607, 1.078136]"
103,Puskás Aréna,67215,Budapest,Hungary,Europe,Hungary national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[47.5030241, 19.0978681]"
